POPL_NAME,POPL_TYPE,POPL_ADDR1,POPL_CITY,POPL_ZIP,POPL_STATE,POPL_PHONE,FID,Lat,Lon
Clay Twp. Sta. 1,FIRE STATION,"18776 Cleveland
South Bend, Indiana 46637
(41.72332113800047, -86.23148092899964)",South Bend,46637,Indiana,574-272-3012,37,41.7233211380005,-86.2314809289996
St. Joseph County Jail,POLICE STATION,"701 W SAMPLE
South Bend, Indiana 46625
(41.67905056300049, -86.25404046099965)",South Bend,46625,Indiana,574-235-9201,38,41.6790505630005,-86.2540404609996
German Twp. Sta. 2,FIRE STATION,"23747 Keller Road
South Bend, Indiana 46628
(41.69716158800048, -86.32726932899965)",South Bend,46628,Indiana,574-232-6652,39,41.6971615880005,-86.3272693289997
Clay Twp. Sta. 2,FIRE STATION,"18355 Auten Road
South Bend, Indiana 46637
(41.745350472000496, -86.22409018899964)",South Bend,46637,Indiana,574-272-1710,40,41.7453504720005,-86.2240901889996
St. Joseph Co. Public Library Main Branch,LIBRARY,"304 S. Main St.
South Bend, Indiana 46601
(41.673543564000454, -86.25187689899968)",South Bend,46601,Indiana,574-282-4646,41,41.6735435640005,-86.2518768989997
South Bend Fire Dept. Station #11,FIRE STATION,"3505 N. Bendix Dr.
South Bend, Indiana 46628
(41.72318967400048, -86.29200404599965)",South Bend,46628,Indiana,574-235-9385,42,41.7231896740005,-86.2920040459997
Mishawaka Public Library Bittersweet Branch,LIBRARY,"602 Bittersweet Rd.
Mishawaka, Indiana 46544
(41.670030383000494, -86.10949109799964)",Mishawaka,46544,Indiana,574-259-0392,43,41.6700303830005,-86.1094910979996
German Twp. Sta. 1,FIRE STATION,"51775 Portage Road
South Bend, Indiana 46628
(41.74029080100047, -86.29557087399968)",South Bend,46628,Indiana,574-272-9828,44,41.7402908010005,-86.2955708739997
St. Joseph Co. Public Library German Township Branch,LIBRARY,"52807 Lynnewood Av
South Bend, Indiana 46628
(41.72393320100048, -86.28282263899968)",South Bend,46628,Indiana,574-271-5144,45,41.7239332010005,-86.2828226389997
Penn South Sta. 1,FIRE STATION,"14940 Jackson Road
Mishawaka, Indiana 46544
(41.622370832000456, -86.15641088399968)",Mishawaka,46544,Indiana,574-255-4433,46,41.6223708320005,-86.1564108839997
South Bend Fire Dept. Station #3,FIRE STATION,"1805 McKinley Ave.
South Bend, Indiana 46617
(41.680220706000455, -86.22075713699968)",South Bend,46617,Indiana,574-235-9175,47,41.6802207060005,-86.2207571369997
Mishawaka Fire Dept. Station #1,FIRE STATION,"600 Union St.
Mishawaka, Indiana 46544
(41.65585337700048, -86.17692383499968)",Mishawaka,46544,Indiana,574-258-1674,48,41.6558533770005,-86.1769238349997
Mishawaka Fire Dept. Station #2,FIRE STATION,"2332 N. Main St.
Mishawaka, Indiana 46544
(41.681103660000474, -86.18137563599964)",Mishawaka,46544,Indiana,574-258-1697,49,41.6811036600005,-86.1813756359996
Harris Twp. Sta. 1,FIRE STATION,"13981 SR 23
Granger, Indiana 46350
(41.743374161000474, -86.13930218899964)",Granger,46350,Indiana,574-272-4499,50,41.7433741610005,-86.1393021889996
South Bend Fire Dept.,FIRE STATION,"1222 S. Michigan St.
South Bend, Indiana 46601
(41.66145320300046, -86.24997207899969)",South Bend,46601,Indiana,574-235-9491,51,41.6614532030005,-86.2499720789997
